date_checked,publisher,url,open_access,contact,whois,terms_conditions_url,crossref_tdm,crossref_tdm_clickthrough,copyright_law_country,download_research,terms_conditions_scrape,nc_terms_conditions_scrape,terms_conditions_spider,nc_terms_conditions_spider,tdm_policy,api,api_free,lit_dump,lit_dump_free,lit_dump_policy,noteworthy_text
20160601,IEEE,https://www.ieee.org/,0,contactcenter@ieee.org,hostmaster@IEEE.ORG,http://ieeexplore.ieee.org/xpl/termsOfUse.jsp#,1,0,US,1,0,0,0,0,NA,1,,NA,NA,NA,
20160601,IOP Publishing,https://iop.org,0,physics@iop.org,domains@iop.org,https://www.iop.org/terms/index.html,0,NA,ENG,1,0,0,1,1,NA,NA,NA,NA,NA,NA,
20160602,JSTOR,http://www.jstor.org/,0,http://www.jstor.org/forms/content/jstor-help-support,ev2y273f7ru@networksolutionsprivateregistration.com,http://about.jstor.org/terms,0,NA,US,1,0,0,0,0,http://dfr.jstor.org/??view=text&&helpview=about_dfr,0,0,NA,NA,NA,DfR seems more like a researcher portal than a TDM service
20160602,MDPI,http://www.mdpi.com/,1,http://www.mdpi.com/about/contactform,au6xd73p677@networksolutionsprivateregistration.com,http://www.mdpi.com/about/termsofuse,0,NA,CH,1,1,1,1,1,http://www.mdpi.com/librarians#metadata,1,0,http://www.mdpi.com/librarians#corpus,1,http://www.mdpi.com/librarians#corpus,Scraping also explicitly allowed outside of T&C
20160602,Nature Publishing Group,http://www.nature.com/index.html,0,https://mse.secure.force.com/nature/?cu=1&fs=ContactUs&l=en_US&q=temp_contact_us_param,roger.hirschkind@macmillan.com,https://secure.nature.com/info/tandc.html,0,NA,ENG+,1,0,0,1,1,NA,NA,NA,NA,NA,NA,"In the event of any legal action arising from or relating to these Terms of Use or your use of any Site, you hereby waive the right to a jury trial."
20160602,Open Library of Humanities,https://www.openlibhums.org/,1,https://www.openlibhums.org/site/contact/,martin@martineve.com,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20160602,Oxford University Press,https://global.oup.com/academic/?cc=nl&lang=en&,0,onlinequeries.uk@oup.com,domainnames@oup.com,https://global.oup.com/academic/legal-notice/?cc=nl&lang=en&,0,NA,ENG+,1,1,1,1,1,http://www.oxfordjournals.org/en/help/third-party-data-mining.html,0,0,NA,NA,NA,https://www.copyright.com/oxford-university-press-participating-in-copyright-clearance-centers-new-text-mining-solution/
20160602,Palgrave Macmillan,http://www.palgrave-journals.com/pal/index.html,0,subscriptions@palgrave.com,roger.hirschkind@macmillan.com,https://www.palgrave.com/gp/services/legal/terms-of-use/6626236,0,NA,ENG+,1,0,0,1,1,NA,NA,NA,NA,NA,NA,
20160602,PeerJ,https://peerj.com/,1,support@peerj.com,BUSINESS@PEERJ.COM,https://peerj.com/about/terms/,0,NA,US,1,1,1,1,1,NA,NA,NA,NA,NA,NA,peerj.com/articles/updates.csv
20160602,Pensoft Publishers,http://www.pensoft.net/journals/,1,info@pensoft.net,info@pensoft.net,http://pensoft.net/terms,1,0,NA,1,1,1,1,1,NA,1,,NA,NA,NA,
20160602,PLOS,https://www.plos.org/,1,plos@plos.org,admin@plos.org,https://www.plos.org/terms-of-use,0,NA,US,1,1,1,1,1,http://api.plos.org/,1,1,NA,NA,NA,Note that the corpus dump is included in PMC
20160602,Royal Society,https://royalsociety.org/journals/,0,webmanager@royalsociety.org,ithelpdesk@royalsociety.org,https://royalsociety.org/about-us/terms-conditions-policies/,0,NA,UK,1,1,1,1,1,https://royalsociety.org/about-us/terms-conditions-policies/publishing-terms-conditions/academic-single-site/,0,0,NA,NA,NA,
20160602,SAGE,http://online.sagepub.com/,0,http://online.sagepub.com/feedback,sageadmin@sagepub.com,http://online.sagepub.com/site/policies/SJTermsofUSE.xhtml,1,0,US,1,1,1,1,1,https://uk.sagepub.com/en-gb/eur/terms-and-conditions-of-use-of-sage-journals,1,,NA,NA,NA,https://www.researchinformation.info/product/rightfind-xml-mining-0
20160602,SciELO,http://scielo.org/,0,http://scielo.org/php/contact.php?lang=en,fabio.batalha@scielo.org,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some of them available in PMC
20160602,Springer,https://www.springer.com/,0,https://www.springer.com/gp/help/contact/your-contact-at-springer/31314,hostmaster@springer.com,https://www.springer.com/generic/terms?SGWID=5-40112-0-0-0,0,NA,DE,1,1,1,1,1,https://www.springer.com/gp/rights-permissions/springer-s-text-and-data-mining-policy/29056,,,NA,NA,NA,"Working on getting into CrossRef, test whether already in there"
20160602,Taylor & Francis (Informa publishing),http://www.tandfonline.com/,0,subscriptions@tandf.co.uk,Ray.Schlosbon@taylorandfrancis.com,http://www.tandfonline.com/page/terms-and-conditions,0,NA,ENG,1,0,0,0,0,NA,,,NA,NA,NA,Scraping limited to 500 p/session is my experience; systematically download and store complete issues or volumes of any one journal; taylorfrancis mentioned by Crossref http://tdmsupport.crossref.org/
20160602,Thieme Publishing Group,http://www.thieme.com/journals-main,0,customerservice@thieme.com,kirby.robinson@thieme.com,https://www.thieme.de/statics/dokumente/thieme/final/de/dokumente/sw_%20thieme-connect/Nutzungsbedingungen_EN.pdf,0,NA,DE,1,1,1,1,1,NA,NA,NA,NA,NA,NA,
20160602,Ubiquity Press,http://www.ubiquitypress.com/,1,http://www.ubiquitypress.com/site/contact/,04e75079ac900cb04577e6865c8fa7da-1817625@contact.gandi.net,http://www.ubiquitypress.com/site/t-and-c/,0,NA,UK,0,0,0,1,1,NA,NA,NA,NA,NA,NA,
20160602,Walter de Gruyter,http://www.degruyter.com/browse?type_0=journals,0,service@degruyter.com,itservice@degruyter.com,http://www.degruyter.com/page/218,1,0,DE,1,0,0,0,0,NA,1,,NA,NA,NA,
20160602,Wiley,http://onlinelibrary.wiley.com/,0,http://wiley.force.com/Interface?Brand=globaljournalservices,domains@wiley.com,http://onlinelibrary.wiley.com/termsAndConditions,1,1,NA,1,1,1,1,1,http://olabout.wiley.com/WileyCDA/Section/id-826542.html,1,0,NA,NA,NA,"Authorized Users may not copy, distribute, transmit or otherwise reproduce, sell or resell material from Electronic Products (s); store such material in any form or medium in a retrieval system; download and/or store an entire issue of a Electronic Product or its equivalent; o"
20160602,Ovid technologies / Wolters Kluwer Health,http://www.ovid.com/site/catalog/journals/index.jsp,0,sales@ovid.com,wkdomains@wkglobal.com,http://www.ovid.com/site/terms.jsp,1,0,US,1,0,0,0,0,NA,1,,NA,NA,NA,"You agree that you will not use any robot, spider, other automatic device, or manual process to ""screen scrape,"" monitor, ""mine,"" or copy the Web pages on the Online Service or the content contained herein in whole or in part."
